adaptive,imgt,species
TCRBV12-03/12-04,TRBV12-1*01,human
TCRBV06-02/06-03,TRBV6-2*01,human
TCRBV03-01/03-02,TRBV3-1*01,human
TCRBV07-05,TRBV7-1*01,human
TCRAJ01,TRAJ1*01,human
TCRAJ10,TRAJ10*01,human
TCRAJ11,TRAJ11*01,human
TCRAJ12,TRAJ12*01,human
TCRAJ13,TRAJ13*01,human
TCRAJ14,TRAJ14*01,human
TCRAJ15,TRAJ15*01,human
TCRAJ16,TRAJ16*01,human
TCRAJ17,TRAJ17*01,human
TCRAJ18,TRAJ18*01,human
TCRAJ19,TRAJ19*01,human
TCRAJ02,TRAJ2*01,human
TCRAJ20,TRAJ20*01,human
TCRAJ21,TRAJ21*01,human
TCRAJ22,TRAJ22*01,human
TCRAJ23,TRAJ23*01,human
TCRAJ24,TRAJ24*01,human
TCRAJ25,TRAJ25*01,human
TCRAJ26,TRAJ26*01,human
TCRAJ27,TRAJ27*01,human
TCRAJ28,TRAJ28*01,human
TCRAJ29,TRAJ29*01,human
TCRAJ03,TRAJ3*01,human
TCRAJ30,TRAJ30*01,human
TCRAJ31,TRAJ31*01,human
TCRAJ32,TRAJ32*01,human
TCRAJ33,TRAJ33*01,human
TCRAJ34,TRAJ34*01,human
TCRAJ35,TRAJ35*01,human
TCRAJ36,TRAJ36*01,human
TCRAJ37,TRAJ37*01,human
TCRAJ38,TRAJ38*01,human
TCRAJ39,TRAJ39*01,human
TCRAJ04,TRAJ4*01,human
TCRAJ40,TRAJ40*01,human
TCRAJ41,TRAJ41*01,human
TCRAJ42,TRAJ42*01,human
TCRAJ43,TRAJ43*01,human
TCRAJ44,TRAJ44*01,human
TCRAJ45,TRAJ45*01,human
TCRAJ46,TRAJ46*01,human
TCRAJ47,TRAJ47*01,human
TCRAJ48,TRAJ48*01,human
TCRAJ49,TRAJ49*01,human
TCRAJ05,TRAJ5*01,human
TCRAJ50,TRAJ50*01,human
TCRAJ51,TRAJ51*01,human
TCRAJ52,TRAJ52*01,human
TCRAJ53,TRAJ53*01,human
TCRAJ54,TRAJ54*01,human
TCRAJ55,TRAJ55*01,human
TCRAJ56,TRAJ56*01,human
TCRAJ57,TRAJ57*01,human
TCRAJ58,TRAJ58*01,human
TCRAJ59,TRAJ59*01,human
TCRAJ06,TRAJ6*01,human
TCRAJ60,TRAJ60*01,human
TCRAJ61,TRAJ61*01,human
TCRAJ07,TRAJ7*01,human
TCRAJ08,TRAJ8*01,human
TCRAJ09,TRAJ9*01,human
TCRAV01-01,TRAV1-1*01,human
TCRAV01-02,TRAV1-2*01,human
TCRAV10,TRAV10*01,human
TCRAV11,TRAV11*01,human
TCRAV12-01,TRAV12-1*01,human
TCRAV12-02,TRAV12-2*01,human
TCRAV12-03,TRAV12-3*01,human
TCRAV13-01,TRAV13-1*01,human
TCRAV13-02,TRAV13-2*01,human
TCRAV16,TRAV16*01,human
TCRAV17,TRAV17*01,human
TCRAV18,TRAV18*01,human
TCRAV19,TRAV19*01,human
TCRAV02,TRAV2*01,human
TCRAV20,TRAV20*01,human
TCRAV21,TRAV21*01,human
TCRAV22,TRAV22*01,human
TCRAV24,TRAV24*01,human
TCRAV25,TRAV25*01,human
TCRAV26-01,TRAV26-1*01,human
TCRAV26-02,TRAV26-2*01,human
TCRAV27,TRAV27*01,human
TCRAV03,TRAV3*01,human
TCRAV30,TRAV30*01,human
TCRAV34,TRAV34*01,human
TCRAV35,TRAV35*01,human
TCRAV38-01,TRAV38-1*01,human
TCRAV39,TRAV39*01,human
TCRAV04,TRAV4*01,human
TCRAV40,TRAV40*01,human
TCRAV41,TRAV41*01,human
TCRAV05,TRAV5*01,human
TCRAV06,TRAV6*01,human
TCRAV07,TRAV7*01,human
TCRAV08-01,TRAV8-1*01,human
TCRAV08-02,TRAV8-2*01,human
TCRAV08-03,TRAV8-3*01,human
TCRAV08-04,TRAV8-4*01,human
TCRAV08-06,TRAV8-6*01,human
TCRAV08-07,TRAV8-7*01,human
TCRAV09-01,TRAV9-1*01,human
TCRAV09-02,TRAV9-2*01,human
TCRBD01,TRBD1*01,human
TCRBD02,TRBD2*01,human
TCRBJ01-01,TRBJ1-1*01,human
TCRBJ01-02,TRBJ1-2*01,human
TCRBJ01-03,TRBJ1-3*01,human
TCRBJ01-04,TRBJ1-4*01,human
TCRBJ01-05,TRBJ1-5*01,human
TCRBJ01-06,TRBJ1-6*01,human
TCRBJ02-01,TRBJ2-1*01,human
TCRBJ02-02,TRBJ2-2*01,human
TCRBJ02-03,TRBJ2-3*01,human
TCRBJ02-04,TRBJ2-4*01,human
TCRBJ02-05,TRBJ2-5*01,human
TCRBJ02-06,TRBJ2-6*01,human
TCRBJ02-07,TRBJ2-7*01,human
TCRBV01,TRBV1*01,human
TCRBV10-01,TRBV10-1*01,human
TCRBV10-02,TRBV10-2*01,human
TCRBV10-03,TRBV10-3*01,human
TCRBV11-01,TRBV11-1*01,human
TCRBV11-02,TRBV11-2*01,human
TCRBV11-03,TRBV11-3*01,human
TCRBV12-01,TRBV12-1*01,human
TCRBV12-02,TRBV12-2*01,human
TCRBV12-03,TRBV12-3*01,human
TCRBV12-04,TRBV12-4*01,human
TCRBV12-05,TRBV12-5*01,human
TCRBV13,TRBV13*01,human
TCRBV14,TRBV14*01,human
TCRBV15,TRBV15*01,human
TCRBV16,TRBV16*01,human
TCRBV17,TRBV17*01,human
TCRBV18,TRBV18*01,human
TCRBV19,TRBV19*01,human
TCRBV02,TRBV2*01,human
TCRBV20-01,TRBV20-1*01,human
TCRBV21-01,TRBV21-1*01,human
TCRBV23-01,TRBV23-1*01,human
TCRBV24-01,TRBV24-1*01,human
TCRBV25-01,TRBV25-1*01,human
TCRBV26,TRBV26*01,human
TCRBV27,TRBV27*01,human
TCRBV28,TRBV28*01,human
TCRBV29-01,TRBV29-1*01,human
TCRBV03-01,TRBV3-1*01,human
TCRBV03-02,TRBV3-2*01,human
TCRBV30,TRBV30*01,human
TCRBV04-01,TRBV4-1*01,human
TCRBV04-02,TRBV4-2*01,human
TCRBV04-03,TRBV4-3*01,human
TCRBV05-01,TRBV5-1*01,human
TCRBV05-03,TRBV5-3*01,human
TCRBV05-04,TRBV5-4*01,human
TCRBV05-05,TRBV5-5*01,human
TCRBV05-06,TRBV5-6*01,human
TCRBV05-07,TRBV5-7*01,human
TCRBV05-08,TRBV5-8*01,human
TCRBV06-01,TRBV6-1*01,human
TCRBV06-02,TRBV6-2*01,human
TCRBV06-03,TRBV6-3*01,human
TCRBV06-04,TRBV6-4*01,human
TCRBV06-05,TRBV6-5*01,human
TCRBV06-06,TRBV6-6*01,human
TCRBV06-07,TRBV6-7*01,human
TCRBV06-08,TRBV6-8*01,human
TCRBV06-09,TRBV6-9*01,human
TCRBV07-01,TRBV7-1*01,human
TCRBV07-02,TRBV7-2*01,human
TCRBV07-03,TRBV7-3*01,human
TCRBV07-04,TRBV7-4*01,human
TCRBV07-06,TRBV7-6*01,human
TCRBV07-07,TRBV7-7*01,human
TCRBV07-08,TRBV7-8*01,human
TCRBV07-09,TRBV7-9*01,human
TCRBV09,TRBV9*01,human
TCRDD01,TRDD1*01,human
TCRDD02,TRDD2*01,human
TCRDD03,TRDD3*01,human
TCRDJ01,TRDJ1*01,human
TCRDJ02,TRDJ2*01,human
TCRDJ03,TRDJ3*01,human
TCRDJ04,TRDJ4*01,human
