gene,anchor_index,function
TRAV1-1*01,261,F
TRAV1-1*02,261,(F)
TRAV1-2*01,261,F
TRAV1-2*02,261,[F]
TRAV10*01,267,F
TRAV11*01,267,P
TRAV12-1*01,261,F
TRAV12-1*02,261,(F)
TRAV12-2*01,264,F
TRAV12-2*02,264,(F)
TRAV12-2*03,240,(F)
TRAV12-3*01,264,F
TRAV12-3*02,264,(F)
TRAV13-1*01,267,F
TRAV13-1*02,267,(F)
TRAV13-1*03,267,[F]
TRAV13-2*01,267,F
TRAV13-2*02,267,(F)
TRAV14/DV4*01,273,F
TRAV14/DV4*02,273,F
TRAV14/DV4*03,273,(F)
TRAV14/DV4*04,270,[F]
TRAV16*01,258,F
TRAV17*01,264,F
TRAV18*01,264,F
TRAV19*01,273,F
TRAV2*01,249,F
TRAV2*02,249,(F)
TRAV20*01,261,F
TRAV20*02,261,(F)
TRAV20*03,261,(F)
TRAV20*04,261,(F)
TRAV21*01,267,F
TRAV21*02,267,(F)
TRAV22*01,258,F
TRAV23/DV6*01,267,F
TRAV23/DV6*02,267,(F)
TRAV23/DV6*03,267,(F)
TRAV23/DV6*04,264,[F]
TRAV24*01,267,F
TRAV24*02,267,(F)
TRAV25*01,264,F
TRAV26-1*01,261,F
TRAV26-1*02,261,(F)
TRAV26-1*03,261,(F)
TRAV26-2*01,261,F
TRAV26-2*02,261,[F]
TRAV27*01,264,F
TRAV27*02,264,(F)
TRAV27*03,264,(F)
TRAV29/DV5*01,267,F
TRAV29/DV5*02,267,F
TRAV3*01,270,F
TRAV30*01,261,F
TRAV30*02,261,(F)
TRAV30*03,261,(F)
TRAV30*04,261,[F]
TRAV34*01,264,F
TRAV35*01,264,F
TRAV35*02,264,(F)
TRAV36/DV7*01,264,F
TRAV36/DV7*02,264,(F)
TRAV36/DV7*03,264,(F)
TRAV36/DV7*04,264,(F)
TRAV38-1*01,273,F
TRAV38-1*02,273,(F)
TRAV38-1*03,273,(F)
TRAV38-1*04,273,(F)
TRAV38-2/DV8*01,273,F
TRAV39*01,264,F
TRAV4*01,261,F
TRAV40*01,249,F
TRAV41*01,258,F
TRAV5*01,264,F
TRAV6*01,267,F
TRAV6*02,267,(F)
TRAV6*03,243,[F]
TRAV6*04,243,[F]
TRAV6*05,243,[F]
TRAV6*06,267,[F]
TRAV7*01,261,F
TRAV8-1*01,270,F
TRAV8-1*02,270,[F]
TRAV8-2*01,270,F
TRAV8-2*02,270,(F)
TRAV8-3*01,270,F
TRAV8-3*02,270,(F)
TRAV8-3*03,270,(F)
TRAV8-4*01,270,F
TRAV8-4*02,270,(F)
TRAV8-4*03,270,(F)
TRAV8-4*04,270,(F)
TRAV8-4*05,270,(F)
TRAV8-4*06,204,(F)
TRAV8-4*07,186,(F)
TRAV8-6*01,270,F
TRAV8-6*02,270,F
TRAV8-7*01,270,ORF
TRAV9-1*01,267,F
TRAV9-2*01,267,F
TRAV9-2*02,267,(F)
TRAV9-2*03,267,(F)
TRAV9-2*04,267,(F)
