gene,anchor_index,function
TRAJ1*01,28,ORF
TRAJ10*01,30,F
TRAJ11*01,26,F
TRAJ12*01,26,F
TRAJ13*01,29,F
TRAJ13*02,29,F
TRAJ14*01,18,F
TRAJ15*01,26,F
TRAJ15*02,26,F
TRAJ16*01,26,F
TRAJ17*01,29,F
TRAJ18*01,32,F
TRAJ19*01,26,ORF
TRAJ2*01,32,ORF
TRAJ20*01,23,F
TRAJ21*01,21,F
TRAJ22*01,29,F
TRAJ23*01,29,F
TRAJ23*02,29,F
TRAJ24*01,29,F
TRAJ24*02,29,F
TRAJ25*01,26,ORF
TRAJ26*01,26,F
TRAJ27*01,25,F
TRAJ28*01,32,F
TRAJ29*01,26,F
TRAJ3*01,28,F
TRAJ30*01,23,F
TRAJ31*01,22,F
TRAJ32*01,32,F
TRAJ32*02,26,(F)
TRAJ33*01,23,F
TRAJ34*01,24,F
TRAJ35*01,25,ORF
TRAJ36*01,25,F
TRAJ37*01,28,F
TRAJ37*02,28,(F)
TRAJ38*01,28,F
TRAJ39*01,29,F
TRAJ4*01,29,F
TRAJ40*01,27,F
TRAJ41*01,28,F
TRAJ42*01,32,F
TRAJ43*01,20,F
TRAJ44*01,29,F
TRAJ45*01,32,F
TRAJ46*01,29,F
TRAJ47*01,23,F
TRAJ47*02,23,(F)
TRAJ48*01,29,F
TRAJ49*01,22,F
TRAJ5*01,26,F
TRAJ50*01,26,F
TRAJ51*01,29,P
TRAJ52*01,35,F
TRAJ53*01,32,F
TRAJ54*01,26,F
TRAJ55*01,23,P
TRAJ56*01,28,F
TRAJ57*01,29,F
TRAJ58*01,29,ORF
TRAJ59*01,26,ORF
TRAJ6*01,28,F
TRAJ60*01,23,P
TRAJ61*01,26,ORF
TRAJ7*01,25,F
TRAJ8*01,26,F
