gene,anchor_index,function
IGHV1-18*01,285,F
IGHV1-18*02,285,F
IGHV1-18*03,285,F
IGHV1-18*04,285,F
IGHV1-2*01,285,F
IGHV1-2*02,285,F
IGHV1-2*03,285,F
IGHV1-2*04,285,F
IGHV1-2*05,285,F
IGHV1-24*01,285,F
IGHV1-3*01,285,F
IGHV1-3*02,285,F
IGHV1-38-4*01,285,ORF
IGHV1-45*01,285,F
IGHV1-45*02,285,F
IGHV1-45*03,251,F
IGHV1-46*01,285,F
IGHV1-46*02,285,F
IGHV1-46*03,285,F
IGHV1-58*01,285,F
IGHV1-58*02,285,F
IGHV1-68*01,285,P
IGHV1-69*01,285,F
IGHV1-69*02,285,F
IGHV1-69*03,285,F
IGHV1-69*04,285,F
IGHV1-69*05,285,F
IGHV1-69*06,285,F
IGHV1-69*07,251,F
IGHV1-69*08,285,F
IGHV1-69*09,285,F
IGHV1-69*10,285,F
IGHV1-69*11,285,F
IGHV1-69*12,285,F
IGHV1-69*13,285,F
IGHV1-69*14,285,F
IGHV1-69-2*01,285,F
IGHV1-69-2*02,251,F
IGHV1-69D*01,285,F
IGHV1-8*01,285,F
IGHV1-8*02,285,F
IGHV1-NL1*01,285,P
IGHV2-10*01,288,P
IGHV2-26*01,288,F
IGHV2-5*01,288,F
IGHV2-5*02,288,F
IGHV2-5*03,259,F
IGHV2-5*04,288,F
IGHV2-5*05,288,F
IGHV2-5*06,288,F
IGHV2-5*08,288,F
IGHV2-5*09,288,F
IGHV2-70*01,288,F
IGHV2-70*02,288,F
IGHV2-70*03,288,F
IGHV2-70*04,288,F
IGHV2-70*05,262,F
IGHV2-70*06,288,F
IGHV2-70*07,288,F
IGHV2-70*08,288,F
IGHV2-70*09,288,ORF
IGHV2-70*10,288,F
IGHV2-70*11,288,F
IGHV2-70*12,288,F
IGHV2-70*13,288,F
IGHV2-70D*04,288,F
IGHV2-70D*14,288,F
IGHV3-11*01,285,F
IGHV3-11*03,285,F
IGHV3-11*04,285,F
IGHV3-11*05,285,F
IGHV3-11*06,285,F
IGHV3-13*01,282,F
IGHV3-13*02,282,F
IGHV3-13*03,282,F
IGHV3-13*04,282,F
IGHV3-13*05,282,F
IGHV3-15*01,291,F
IGHV3-15*02,291,F
IGHV3-15*03,291,F
IGHV3-15*04,291,F
IGHV3-15*05,291,F
IGHV3-15*06,291,F
IGHV3-15*07,291,F
IGHV3-15*08,291,F
IGHV3-16*01,285,ORF
IGHV3-16*02,285,ORF
IGHV3-19*01,285,P
IGHV3-20*01,285,F
IGHV3-20*02,285,ORF
IGHV3-21*01,285,F
IGHV3-21*02,285,F
IGHV3-21*03,285,F
IGHV3-21*04,285,F
IGHV3-22*01,291,P
IGHV3-22*02,291,P
IGHV3-23*01,285,F
IGHV3-23*02,285,F
IGHV3-23*03,285,F
IGHV3-23*04,285,F
IGHV3-23*05,285,F
IGHV3-23D*01,285,F
IGHV3-25*01,285,P
IGHV3-25*02,285,P
IGHV3-25*03,285,P
IGHV3-25*04,285,ORF
IGHV3-25*05,285,P
IGHV3-29*01,285,P
IGHV3-29*02,285,P
IGHV3-30*01,285,F
IGHV3-30*02,285,F
IGHV3-30*03,285,F
IGHV3-30*04,285,F
IGHV3-30*05,285,F
IGHV3-30*06,285,F
IGHV3-30*07,285,F
IGHV3-30*08,285,F
IGHV3-30*09,285,F
IGHV3-30*10,285,F
IGHV3-30*11,285,F
IGHV3-30*12,285,F
IGHV3-30*13,285,F
IGHV3-30*14,285,F
IGHV3-30*15,285,F
IGHV3-30*16,285,F
IGHV3-30*17,285,F
IGHV3-30*18,285,F
IGHV3-30*19,285,F
IGHV3-30-2*01,285,P
IGHV3-30-22*01,285,P
IGHV3-30-3*01,285,F
IGHV3-30-3*02,285,F
IGHV3-30-3*03,285,F
IGHV3-30-33*01,285,P
IGHV3-30-42*01,285,P
IGHV3-30-5*01,285,F
IGHV3-30-5*02,285,F
IGHV3-30-52*01,285,P
IGHV3-32*01,285,P
IGHV3-32*02,285,P
IGHV3-33*01,285,F
IGHV3-33*02,285,F
