gene,anchor_index,function
TRBV1*01,267,P
TRBV2*01,273,F
TRBV2*02,273,(F)
TRBV2*03,273,(F)
TRBV3-1*01,267,F
TRBV3-1*02,270,(F)
TRBV3-2*01,270,P
TRBV3-2*02,270,P
TRBV3-2*03,270,(P)
TRBV4-1*01,267,F
TRBV4-1*02,243,(F)
TRBV4-2*01,267,F
TRBV4-2*02,270,(F)
TRBV4-3*01,267,F
TRBV4-3*02,267,(F)
TRBV4-3*03,270,(F)
TRBV4-3*04,219,(F)
TRBV5-1*01,270,F
TRBV5-1*02,270,(F)
TRBV5-3*01,270,ORF
TRBV5-3*02,270,ORF
TRBV5-4*01,270,F
TRBV5-4*02,270,(F)
TRBV5-4*03,222,(F)
TRBV5-4*04,180,(F)
TRBV5-5*01,270,F
TRBV5-5*02,270,(F)
TRBV5-5*03,270,(F)
TRBV5-6*01,270,F
TRBV5-7*01,270,ORF
TRBV5-8*01,270,F
TRBV5-8*02,226,(F)
TRBV6-1*01,270,F
TRBV6-2*01,270,F
TRBV6-3*01,270,F
TRBV6-4*01,270,F
TRBV6-4*02,270,F
TRBV6-5*01,270,F
TRBV6-6*01,270,F
TRBV6-6*02,270,F
TRBV6-6*03,270,(F)
TRBV6-6*04,270,(F)
TRBV6-6*05,270,(F)
TRBV6-7*01,270,ORF
TRBV6-8*01,267,F
TRBV6-9*01,270,F
TRBV7-1*01,273,ORF
TRBV7-2*01,273,F
TRBV7-2*02,273,F
TRBV7-2*03,270,F
TRBV7-2*04,273,(F)
TRBV7-2*05,273,(F)
TRBV7-3*01,273,F
TRBV7-3*02,273,ORF
TRBV7-3*03,273,ORF
TRBV7-3*04,273,(F)
TRBV7-3*05,219,(F)
TRBV7-4*01,273,F
TRBV7-6*01,273,F
TRBV7-6*02,273,(F)
TRBV7-7*01,273,F
TRBV7-7*02,273,(F)
TRBV7-7*03,273,(F)
TRBV7-8*01,273,F
TRBV7-8*02,273,F
TRBV7-8*03,273,(F)
TRBV7-9*01,273,F
TRBV7-9*02,273,(F)
TRBV7-9*03,273,F
TRBV7-9*04,273,(F)
TRBV7-9*05,273,(F)
TRBV7-9*06,273,(F)
TRBV7-9*07,189,(F)
TRBV9*01,270,F
TRBV9*02,270,F
TRBV9*03,270,(F)
TRBV10-1*01,270,F
TRBV10-1*02,270,F
TRBV10-1*04,270,P
TRBV10-2*01,270,F
TRBV10-2*02,223,[F]
TRBV10-3*01,270,F
TRBV10-3*02,267,F
TRBV10-3*03,270,[F]
TRBV10-3*04,270,[F]
TRBV11-1*01,273,F
TRBV11-2*01,273,F
TRBV11-2*02,273,[F]
TRBV11-2*03,273,(F)
TRBV11-3*01,273,F
TRBV11-3*02,273,(F)
TRBV11-3*03,257,(F)
TRBV12-1*01,270,P
TRBV12-2*01,270,P
TRBV12-3*01,273,F
TRBV12-4*01,273,F
TRBV12-4*02,273,(F)
TRBV12-5*01,273,F
TRBV13*01,270,F
TRBV13*02,270,(F)
TRBV14*01,273,F
TRBV14*02,273,(F)
TRBV15*01,270,F
TRBV15*02,270,(F)
TRBV15*03,270,(F)
TRBV16*01,273,F
TRBV16*02,273,P
TRBV16*03,273,(F)
TRBV17*01,273,ORF
TRBV18*01,273,F
TRBV19*01,270,F
TRBV19*02,270,F
TRBV19*03,270,(F)
TRBV20-1*01,279,F
TRBV20-1*02,279,F
TRBV20-1*03,279,(F)
TRBV20-1*04,279,(F)
TRBV20-1*05,279,(F)
TRBV20-1*06,279,(F)
TRBV20-1*07,279,(F)
TRBV21-1*01,273,P
TRBV23-1*01,273,ORF
TRBV24-1*01,270,F
TRBV25-1*01,270,F
TRBV26*01,270,P
TRBV27*01,270,F
TRBV28*01,270,F
TRBV29-1*01,276,F
TRBV29-1*02,276,(F)
TRBV29-1*03,219,(F)
TRBV30*01,270,F
TRBV30*02,267,F
TRBV30*04,264,(F)
TRBV30*05,270,(F)
