gene,anchor_index,function
TRAV12N-2*01,267,F
TRAV11D*01,267,F
TRAV6D-6*02,273,F
TRAV6-7/DV9*08,267,F
TRAV8-2*01,264,F
TRAV7D-5*01,264,F
TRAV5-4*01,267,F
TRAV9D-3*02,270,F
TRAV21/DV12*02,261,F
TRAV5N-4*01,267,F
TRAV13N-1*01,258,F
TRAV6-2*03,267,F
TRAV6-1*02,267,F
TRAV14-1*03,267,F
TRAV18*01,264,F
TRAV15-2/DV6-2*02,270,F
TRAV7-4*02,264,F
TRAV12-2*01,267,F
TRAV3-4*01,267,F
TRAV8N-2*01,264,F
TRAV12N-1*01,270,F
TRAV9D-2*03,270,F
TRAV13D-4*03,258,F
TRAV6-3*02,267,F
TRAV6N-7*01,267,F
TRAV7N-6*01,264,F
TRAV14D-2*03,267,F
TRAV13D-3*02,264,F
TRAV7-3*04,264,F
TRAV6D-5*01,267,F
TRAV11*02,267,F
TRAV16D/DV11*02,273,F
TRAV9D-4*04,240,F
TRAV2*01,261,F
TRAV9-1*02,270,F
TRAV6D-4*01,267,F
TRAV12D-3*03,270,F
TRAV1*02,261,F
TRAV17*02,270,F
TRAV8-1*03,264,F
TRAV13-4/DV7*03,258,F
TRAV7D-4*02,264,F
TRAV7-2*02,264,F
TRAV14D-3/DV8*08,267,F
TRAV12-1*05,270,F
TRAV3-1*02,267,F
TRAV3N-3*01,267,F
TRAV9N-3*01,270,F
TRAV5D-4*05,267,F
TRAV7D-2*03,264,F
TRAV6N-6*01,273,F
TRAV13-1*01,258,F
TRAV13-2*02,258,F
TRAV15N-2*01,273,F
TRAV13D-2*02,258,F
TRAV13N-4*01,258,F
TRAV6-5*04,267,F
TRAV6N-5*01,267,F
TRAV8D-2*03,264,F
TRAV10*02,267,F
TRAV7D-3*02,264,F
TRAV4-4/DV10*01,258,F
TRAV4N-3*01,258,F
TRAV4-3*02,258,F
TRAV7-1*01,264,F
TRAV13D-1*03,258,F
TRAV13N-3*01,264,F
TRAV6-4*03,267,F
TRAV6D-3*02,267,F
TRAV7N-5*01,264,F
TRAV9-2*01,270,F
TRAV12D-2*02,267,F
TRAV14N-3*01,267,F
TRAV4D-4*03,258,F
TRAV16N*01,273,F
TRAV9N-4*01,270,F
TRAV14D-1*02,267,F
TRAV15-1/DV6-1*01,273,F
TRAV7-6*02,264,F
TRAV12D-1*05,270,F
TRAV10D*02,267,F
TRAV14-3*03,267,F
TRAV6-6*03,273,F
TRAV12N-3*01,270,F
TRAV9-4*01,270,F
TRAV15D-2/DV6D-2*03,273,F
TRAV15D-1/DV6D-1*06,273,F
TRAV4N-4*01,258,F
TRAV19*03,267,F
TRAV9N-2*01,270,F
TRAV14N-1*01,267,F
TRAV12-3*04,270,F
TRAV7N-4*01,264,F
TRAV10N*01,267,F
TRAV3-3*01,267,F
TRAV15N-1*01,273,F
TRAV4D-3*04,258,F
TRAV14N-2*01,267,F
TRAV9D-1*02,270,F
TRAV6D-7*04,267,F
TRAV7-5*03,264,F
TRAV8D-1*01,264,F
TRAV5-1*01,267,F
TRAV3D-3*02,267,F
TRAV4-2*02,258,F
TRAV14-2*02,267,F
TRAV13N-2*01,258,F
